Award Number,Month,Year,City,Zip,Charging Station Brand,County,Cost of Charging Station,Rebate Amount
RCS0618102,6,2018,Hockessin,19707,Tesla,New Castle,500.00,250.00
RCS0618103,6,2018,Wilmington,19802,AeroVironment,New Castle,649.00,324.50
RCS0618104,6,2018,Middletown,19709,ChargePoint,New Castle,674.00,337.00
RCS0618105,6,2018,Bear,19701,Tesla,New Castle,500.00,250.00
RCS0618106,6,2018,Bear,19701,Clipper Creek,New Castle,589.00,294.50
RCS0618107,6,2018,Newark,19711,Tesla,New Castle,500.00,250.00
RCS0618108,6,2018,Newark,19711,Tesla,New Castle,500.00,250.00
RCS0618109,6,2018,Newark,19713,ChargePoint,New Castle,629.00,314.50
RCS0618110,6,2018,Hockessin,19707,Siemens,New Castle,459.99,230.00
RCS0618111,6,2018,Wilmington,19810,AeroVironment,New Castle,549.00,274.50
RCS0618112,6,2018,Bear,19701,JuiceBox,New Castle,488.00,244.00
RCS0618113,6,2018,Newark,19713,ChargePoint,New Castle,599.00,299.50
RCS0718114,7,2018,Townsend,19734,Duosida,New Castle,199.99,100.00
RCS0718115,7,2018,Lewes,19958,ChargePoint,Sussex,599.00,299.50
RCS0718116,7,2018,Felton,19943,AeroVironment,Kent,699.00,349.50
RCS0718117,7,2018,Newark,19702,Tesla,New Castle,500.00,250.00
RCS0718118,7,2018,Newark,19702,AeroVironment,New Castle,601.00,300.50
RCS0718119,7,2018,Millville,19967,Clipper Creek,Sussex,515.00,257.50
RCS0818120,8,2018,Felton,19943,Tesla,Kent,500.00,250.00
RCS0818121,8,2018,Milford,19963,Tesla,Sussex,585.00,292.50
RCS0818122,8,2018,New Castle,19720,Tesla,New Castle,500.00,250.00
RCS0818123,8,2018,Dover,19901,Tesla,Kent,500.00,250.00
RCS0818124,8,2018,Wilmington,19808,Tesla,New Castle,500.00,250.00
RCS0818125,8,2018,Frederica,19946,Tesla,Kent,500.00,250.00
RCS0818126,8,2018,Middletown,19709,Siemens,New Castle,473.13,236.57
RCS0818127,8,2018,Wilmington,19803,Siemens,New Castle,402.16,201.08
RCS0918128,9,2018,Milsboro,19966,Siemens,Sussex,402.16,201.34
RCS0918129,9,2018,New Castle,19720,JuiceBox,New Castle,499.00,249.50
RCS0918130,9,2018,Magnolia,19962,Tesla,Kent,610.00,305.00
RCS0918131,9,2018,Wilmington,19807,Porsche,New Castle,344.02,172.01
RCS0918132,9,2018,Wilmington,19807,Tesla,New Castle,500.00,250.00
RCS0918133,9,2018,Newark,19711,Tesla,New Castle,500.00,250.00
RCS0918134,9,2018,Bear,19701,JuiceBox,New Castle,579.00,289.50
RCS1018135,10,2018,Frankford,19945,Siemens,Sussex,473.13,236.57
RCS1018136,10,2018,Wilmington,19805,Tesla,New Castle,500.00,250.00
RCS1018137,10,2018,Bear,19701,Tesla,New Castle,500.00,250.00
RCS1018138,10,2018,Wilmington,19803,Morec,New Castle,368.95,184.48
RCS1018139,10,2018,Lewes,19958,Siemens,Sussex,433.33,216.67
RCS1018140,10,2018,Middletown,19709,Tesla,New Castle,500.00,250.00
RCS1018141,10,2018,Newark,19702,Tesla,New Castle,500.00,250.00
RCS1018142,10,2018,Middletown,19709,Tesla,New Castle,500.00,250.00
RCS1018143,10,2018,Newark,19713,Tesla,New Castle,500.00,250.00
RCS1018144,10,2018,Hockessin,19707,Tesla,New Castle,500.00,250.00
RCS1018145,10,2018,Newark,19711,JuiceBox,New Castle,579.00,290.00
RCS1018146,10,2018,Middletown,19709,Aerovironment,New Castle,499.00,249.50
RCS1018147,10,2018,Newark,19702,Tesla,New Castle,500.00,250.00
RCS1018148,10,2018,Milton,19968,JuiceBox,Sussex,529.00,264.50
RCS1018149,10,2018,Middletown,19709,Tesla,New Castle,500.00,250.00
RCS1018150,10,2018,Wilmington,19808,Tesla,New Castle,500.00,250.00
RCS1018151,10,2018,Middletown,19709,Tesla,New Castle,500.00,250.00
RCS1118152,11,2018,Wilmington,19807,Tesla,New Castle,500.00,250.00
RCS1118153,11,2018,Newark,19711,Tesla,New Castle,500.00,250.00
RCS1118154,11,2018,Hockessin,19707,Tesla,New Castle,500.00,250.00
RCS1118155,11,2018,Smyrna,19977,ChargePoint,Kent,519.00,259.50
RCS1118158,11,2018,Bear,19701,Tesla,New Castle,500.00,250.00
RCS1218159,12,2018,Hockessin,19707,Tesla,New Castle,500.00,250.00
RCS1218160,12,2018,Lewes,19958,Tesla,Sussex,500.00,250.00
RCS1218161,12,2018,Lewes,19958,Tesla,Sussex,500.00,250.00
RCS1218162,12,2018,Milton,19968,ChargePoint,Sussex,559.00,279.50
RCS1218163,12,2018,Wilmington,19803,Clipper Creek,New Castle,599.00,299.50
RCS1218164,12,2018,Wilmington,19803,Clipper Creek,New Castle,599.00,299.50
RCS1218165,12,2018,Milton,19968,Siemens,Sussex,429.00,214.50
RCS1218166,12,2018,Wilmington,19803,Clipper Creek,New Castle,659.00,329.50
RCS1218167,12,2018,Rehoboth Beach,19971,ChargePoint,Sussex,674.00,337.00
RCS1218168,12,2018,Smyrna,19977,ChargePoint,Kent,599.00,299.50
RCS1218169,12,2018,Millsboro,19966,ChargePoint,Sussex,599.00,299.50
RCS1218170,12,2018,Hockessin,19707,Tesla,New Castle,500.00,250.00
RCS1218171,12,2018,Millville,19967,ChargePoint,Sussex,674.00,337.00
RCS1218172,12,2018,Wilmington,19808,Tesla,New Castle,500.00,250.00
RCS1218173,12,2018,Hockessin,19707,Tesla,New Castle,500.00,250.00
RCS1218174,12,2018,Bear,19701,Tesla,New Castle,500.00,250.00
RCS0119175,1,2019,Wilmington,19810,Tesla,New Castle,500.00,250.00
RCS0119176,1,2019,Wilmington,19808,ChargePoint,New Castle,606.26,303.13
RCS0119177,1,2019,Middletown,19709,JuiceBox,New Castle,489.00,244.50
RCS0119178,1,2019,Wilmington,19802,JuiceBox,New Castle,549.00,274.50
RCS0119179,1,2019,Wilmington,19805,Tesla,New Castle,500.00,250.00
RCS0119180,1,2019,Hockessin,19707,Tesla,New Castle,500.00,250.00
RCS0119181,1,2019,Smyrna,19977,Primecom,Kent,324.00,162.00
RCS0119182,1,2019,Wilmington,19801,Tesla,New Castle,500.00,250.00
RCS0119183,1,2019,Lewes,19958,Mustart,Sussex,359.00,179.50
RCS0219184,2,2019,Middletown,19709,Siemens,New Castle,759.00,378.50
RCS0219185,2,2019,Bethany Beach,19930,Tesla,Sussex,500.00,250.00
RCS0219186,2,2019,Middletown,19709,Juicebox,New Castle,579.00,289.50
RCS0219187,2,2019,Wilmington,19803,Tesla,New Castle,500.00,250.00
RCS0219188,2,2019,Hockessin,19707,Tesla,New Castle,500.00,250.00
RCS0219189,2,2019,Middletown,19709,Tesla,New Castle,500.00,250.00
RCS0219190,2,2019,Newark,19711,Tesla,New Castle,500.00,250.00
RCS0219191,2,2019,Bear,19701,Tesla,New Castle,500.00,250.00
RCS0319192,3,2019,Smyrna,19977,Tesla,Kent,500.00,250.00
RCS0319193,3,2019,Wilmington,19807,ChargePoint,New Castle,587.02,293.51
RCS0319194,3,2019,Wilmington,19806,Tesla,New Castle,500.00,250.00
RCS0319195,3,2019,Bear,19701,JuiceBox,New Castle,549.00,274.50
RCS0319196,3,2019,Bear,19701,Tesla,New Castle,500.00,250.00
RCS0319197,3,2019,Wilmington,19807,ChargePoint,New Castle,699.00,349.50
RCS0319198,3,2019,Newark,19711,Tesla,New Castle,500.00,250.00
RCS0319199,3,2019,Ocean View,19970,Tesla,Sussex,500.00,250.00
RCS0319200,3,2019,Bear,19701,Siemens,New Castle,459.99,230.00
RCS0319204,3,2019,Middletown,19709,JuiceBox,New Castle,549.00,274.50
RCS0319205,3,2019,Milton,19968,ChargePoint,Sussex,778.96,389.48
RCS0319206,3,2019,Dover,19901,Tesla,Kent,500.00,250.00
RCS0419207,4,2019,Georgetown,19947,Georgetown,Sussex,200.00,100.00
RCS0419208,4,2019,Wilmington,19807,Wilmington,New Castle,549.00,274.50
RCS0419209,4,2019,Georgetown,19947,Georgetown,Sussex,549.00,274.50
RCS0419210,4,2019,Middletown,19709,Tesla,New Castle,500.00,250.00
RCS0419211,4,2019,New Castle,19720,Tesla,New Castle,500.00,250.00
RCS0419212,4,2019,Middletown,19966,JuiceBox,Sussex,499.00,249.50
RCS0419213,4,2019,Millsboro,19966,ChargePoint,Sussex,629.10,314.55
RCS0419214,4,2019,Bear,19701,Tesla,New Castle,500.00,250.00
RCS0419215,4,2019,Newark,19702,Tesla,New Castle,500.00,250.00
RCS0419216,4,2019,Rehoboth Beach,19971,Tesla,Sussex,500.00,250.00
RCS0419217,4,2019,Camden Wyoming,19934,Tesla,Kent,500.00,250.00
RCS0419218,4,2019,Bear,19701,Tesla,New Castle,500.00,250.00
RCS0419219,4,2019,Hockessin,19707,Tesla,New Castle,500.00,250.00
RCS0419220,4,2019,Wilmington,19807,Tesla,New Castle,500.00,250.00
RCS0519221,5,2019,Middletown,19709,Tesla,New Castle,500.00,250.00
RCS0519225,5,2019,Wilmington,19806,ChargePoint,New Castle,559.20,279.60
RCS0519226,5,2019,Rehoboth Beach,19971,Tesla,Sussex,500.00,250.00
RCS0519227,5,2019,Wilmington,19803,Tesla,New Castle,500.00,250.00
RCS0519228,5,2019,Newark,19702,Tesla,New Castle,500.00,250.00
RCS0519229,5,2019,Seaford,19973,Tesla,Sussex,500.00,250.00
RCS0519230,5,2019,Magnolia,19962,Tesla,Kent,500.00,250.00
RCS0519231,5,2019,Milford,19963,Tesla,Sussex,519.00,259.50
RCS0519233,5,2019,Middletown,19709,Tesla,New Castle,500.00,250.00
RCS0519234,5,2019,Middletown,19709,JuiceBox,New Castle,549.00,274.50
RCS0519235,5,2019,Newark,19702,Tesla,New Castle,500.00,250.00
RCS0519237,5,2019,Wilmington,19803,Tesla,New Castle,500.00,250.00
RCS0519238,5,2019,Wilmington,19808,Tesla,New Castle,500.00,250.00
RCS0519239,5,2019,Wilmington,19807,Accell,New Castle,249.99,125.00
RCS0619243,6,2019,Townsend,19734,Tesla,New Castle,500.00,250.00
RCS0619244,6,2019,Camden Wyoming,19934,JuiceBox,Kent,549.00,274.50
RCS0619245,6,2019,Bear,19701,Tesla,New Castle,500.00,250.00
RCS0619246,6,2019,Middletown,19709,Tesla,New Castle,500.00,250.00
RCS0619247,6,2019,Newark,19702,Tesla,New Castle,500.00,250.00
RCS0619248,6,2019,Newark,19711,Tesla,New Castle,500.00,250.00
RCS0619249,6,2019,Newark,19702,Tesla,New Castle,500.00,250.00
RCS0619250,6,2019,Smyrna,19977,Tesla,Kent,500.00,250.00
RCS0619251,6,2019,Townsend,19734,Tesla,New Castle,500.00,250.00
RCS0619252,6,2019,Dover,19901,Tesla,Kent,500.00,250.00
RCS0719253,7,2019,Wilmington,19808,Tesla,New Castle,500.00,250.00
RCS0719254,7,2019,Wilmington,19807,Tesla,New Castle,500.00,250.00
RCS0719255,7,2019,Lewes,19958,Charge Point,Sussex,778.96,389.48
RCS0719256,7,2019,Lewes,19958,Tesla,Sussex,500.00,250.00
RCS0719257,7,2019,Wilmington,19803,Tesla,New Castle,500.00,250.00
RCS0719258,7,2019,Middletown,19709,Tesla,New Castle,500.00,250.00
RCS0719259,7,2019,Newark,19711,Tesla,New Castle,500.00,250.00
RCS0719260,7,2019,Newark,19711,Tesla,New Castle,500.00,250.00
RCS0719261,7,2019,Townsend,19734,Tesla,New Castle,500.00,250.00
RCS0719262,7,2019,Townsend,19734,Tesla,New Castle,500.00,250.00
RCS0719263,7,2019,Milton,19968,Charge Point,Sussex,559.00,279.50
RCS0719264,7,2019,Rehoboth Beach,19971,Tesla,Sussex,500.00,250.00
RCS0719265,7,2019,Middletown,19709,Tesla,New Castle,500.00,250.00
RCS0719266,7,2019,Lewes,19958,Charge Point,Sussex,599.00,299.50
RCS0719267,7,2019,Wilmington,19802,Tesla,New Castle,500.00,250.00
RCS0719268,7,2019,Rehoboth Beach,19971,Charge Point,Sussex,599.00,299.50
RCS0819269,8,2019,Laurel,19956,Clipper Creek,Sussex,515.00,257.50
RCS0819270,8,2019,Wilmington,19803,Aerovironment,New Castle,499.00,249.50
RCS0819271,8,2019,Newark,19711,Tesla,New Castle,500.00,250.00
RCS0819272,8,2019,Middletown,19709,JuiceBox,New Castle,549.00,274.50
RCS0819273,8,2019,Millsboro,19966,Tesla,Sussex,500.00,250.00
RCS0819274,8,2019,Seaford,19973,Tesla,Sussex,500.00,250.00
RCS0819275,8,2019,Middletown,19709,Tesla,New Castle,500.00,250.00
RCS0819276,8,2019,Hockessin,19707,JuiceBox,New Castle,538.99,269.50
RCS0819277,8,2019,Magnolia,19962,ChargePoint,Kent,599.00,299.50
RCS0819278,8,2019,Clayton,19938,ChargePoint,Kent,599.00,299.50
RCS0819279,8,2019,Middletown,19709,Tesla,New Castle,500.00,250.00
RCS0819280,8,2019,Middletown,19709,Tesla,New Castle,500.00,250.00
RCS0819281,8,2019,Rehoboth Beach,19971,Siemens,Sussex,427.99,214.00
RCS0819282,8,2019,Bear,19701,TurboCord,New Castle,199.00,99.50
RCS0819283,8,2019,Magnolia,19962,Tesla,Kent,500.00,250.00
RCS0819284,8,2019,Wilmington,19809,Tesla,New Castle,500.00,250.00
RCS0819285,8,2019,Middletown,19709,Tesla,New Castle,500.00,250.00
RCS0819286,8,2019,Newark,19713,EV Gear,New Castle,299.99,150.00
RCS0819287,8,2019,Newark,19702,ChargePoint,New Castle,479.00,239.50
RCS0819288,8,2019,Middletown,19709,Tesla,New Castle,500.00,250.00
RCS0819289,8,2019,Millsboro,19966,ChargePoint,Sussex,599.00,299.50
RCS0819290,8,2019,Wilmington,19809,ChargePoint,New Castle,599.00,299.50
RCS0819291,8,2019,Seaford,19973,Tesla,Sussex,500.00,250.00
RCS0819292,8,2019,Newark,19702,Tesla,New Castle,500.00,250.00
RCS0819293,8,2019,Middletown,19709,Tesla,New Castle,500.00,250.00
RCS0819294,8,2019,Wilmington,19810,Tesla,New Castle,500.00,250.00
RCS0819295,8,2019,Newark,19702,Tesla,New Castle,500.00,250.00
RCS0819296,8,2019,Newark,19716,Tesla,New Castle,500.00,250.00
RCS0819297,8,2019,Wilmington,19808,Tesla,New Castle,500.00,250.00
RCS0819298,8,2019,Dewey Beach,19971,Tesla,Sussex,500.00,250.00
CCS0919812,9,2019,Wilmington,19801,ChargePoint,New Castle,6705.00,2500.00
CCS0919813,9,2019,Wilmington,19801,ChargePoint,New Castle,6190.00,2500.00
RCS0919299,9,2019,Wilmington,19806,Tesla,New Castle,500.00,250.00
RCS0919300,9,2019,Newark,19711,ChargePoint,New Castle,600.00,300.00
RCS0919301,9,2019,Wilmington,19803,Tesla,New Castle,500.00,250.00
RCS0919302,9,2019,Middletown,19709,Tesla,New Castle,500.00,250.00
RCS0919303,9,2019,Wilmington,19807,Tesla,New Castle,500.00,250.00
RCS0919304,9,2019,Newark,19702,Tesla,New Castle,500.00,250.00
RCS0919305,9,2019,Newark,19702,Blink,New Castle,1495.00,500.00
RCS0919306,9,2019,Dover,19901,Siemens,Kent,399.99,200.00
RCS0919307,9,2019,Magnolia,19962,Tesla,Kent,500.00,250.00
RCS0919308,9,2019,Milton,19968,Tesla,Sussex,500.00,250.00
RCS0919309,9,2019,Wilmington,19805,Tesla,New Castle,500.00,250.00
RCS0919310,9,2019,Smyrna,19977,Tesla,Kent,500.00,250.00
RCS0919311,9,2019,Wilmington,19807,Tesla,New Castle,500.00,250.00
RCS0919312,9,2019,Bethany Beach,19930,ChargePoint,Sussex,1250.00,500.00
RCS0919313,9,2019,Milford,19963,Tesla,Sussex,500.00,250.00
CCS1019814,10,2019,Wilmington,19801,ChargePoint,New Castle,6447.50,2500.00
CCS1019815,10,2019,Wilmington,19801,ChargePoint,New Castle,6447.50,2500.00
RCS1019314,10,2019,Bear,19701,JuiceBox,New Castle,549.00,274.50
RCS1019315,10,2019,Middletown,19709,Tesla,New Castle,500.00,250.00
RCS1019316,10,2019,Wilmington,19807,Tesla,New Castle,500.00,250.00
RCS1019317,10,2019,Newark,19713,Tesla,New Castle,500.00,250.00
RCS1019318,10,2019,Newark,19713,Tesla,New Castle,500.00,250.00
RCS1019319,10,2019,Wilmington,19808,Tesla,New Castle,500.00,250.00
RCS1019320,10,2019,Miller,19701,Tesla,New Castle,500.00,250.00
RCS1019321,10,2019,Magnolia,19962,Tesla,Kent,500.00,250.00
RCS1019322,10,2019,Townsend,19734,ChargePoint,New Castle,559.00,279.50
RCS1019323,10,2019,Lewes,19958,ChargePoint,Sussex,599.00,299.50
RCS1019324,10,2019,Milford,19963,Tesla,Sussex,500.00,250.00
RCS1019325,10,2019,Selbyville,19975,ChargePoint,Sussex,519.00,259.50
RCS1019326,10,2019,Bear,19701,Tesla,New Castle,500.00,250.00
RCS1019327,10,2019,Smyrna,19977,Tesla,Kent,500.00,250.00
RCS1019328,10,2019,Newark,19711,Siemans,New Castle,459.00,229.50
RCS1019329,10,2019,Wilmington,19801,Tesla,New Castle,500.00,250.00
RCS1019330,10,2019,Newark,19711,Tesla,New Castle,500.00,250.00
RCS1019331,10,2019,Frederica,19946,Tesla,Kent,500.00,250.00
RCS1019332,10,2019,Hockessin,19707,Tesla,New Castle,500.00,250.00
RCS1019333,10,2019,Smyrna,19977,ChargePoint,Kent,519.00,259.50
RCS1019334,10,2019,Wilmington,19808,Tesla,New Castle,500.00,250.00
RCS1019335,10,2019,Bear,19701,Tesla,New Castle,500.00,250.00
CCS1119816,11,2019,Wilmington,19801,ChargePoint,New Castle,7210.00,2500.00
CCS1119817,11,2019,Wilmington,19801,ChargePoint,New Castle,7210.00,2500.00
RCS1119336,11,2019,Middletown,19709,Tesla,New Castle,533.13,266.57
RCS1119337,11,2019,Claymont,19703,ChargePoint,New Castle,778.96,389.48
RCS1119338,11,2019,Newark,19702,Tesla,New Castle,500.00,250.00
RCS1119339,11,2019,Hockessin,19707,ChargePoint,New Castle,519.99,259.50
RCS1119340,11,2019,Rehoboth Beach,19971,JuiceBox,Sussex,549.00,274.50
RCS1119341,11,2019,Dover,19901,Tesla,Kent,500.00,250.00
RCS1119342,11,2019,Dover,19901,Tesla,Kent,500.00,250.00
RCS1119343,11,2019,Middletown,19709,BougeRV,New Castle,195.98,97.99
RCS1119344,11,2019,Rehoboth Beach,19971,ChargePoint,Sussex,615.12,307.56
RCS1119345,11,2019,Wilmington,19808,Tesla,New Castle,500.00,250.00
RCS1119346,11,2019,Wilmington,19803,Siemans,New Castle,751.00,375.50
RCS1119347,11,2019,Lewes,19958,ChargePoint,Sussex,699.00,349.50
RCS1119348,11,2019,Hockessin,19707,Tesla,New Castle,500.00,250.00
RCS1119349,11,2019,Rehoboth Beach,19971,Tesla,Sussex,500.00,250.00
RCS1119350,11,2019,Hockessin,19707,ChargePoint,New Castle,699.00,349.50
RCS1119351,11,2019,Rehoboth Beach,19971,Tesla,Sussex,500.00,250.00
RCS1119352,11,2019,Camden Wyoming,19934,Tesla,Kent,500.00,250.00
RCS1119353,11,2019,Fenwick Island,19944,Primecom,Sussex,469.00,234.50
RCS1119354,11,2019,Camden Wyoming,19934,Tesla,Kent,500.00,250.00
RCS1119355,11,2019,Smyrna,19977,ChargePoint,Kent,699.00,349.50
RCS1119356,11,2019,Greenville,19807,ChargePoint,New Castle,599.00,299.50
CCS1219818,12,2019,Wilmington,19801,ChargePoint,New Castle,7354.45,2500.00
CCS1219819,12,2019,Wilmington,19801,ChargePoint,New Castle,7354.45,2500.00
RCS1219357,12,2019,Smyrna,19977,Tesla,Kent,500.00,250.00
RCS1219358,12,2019,Newark,19711,Tesla,New Castle,500.00,250.00
RCS1219359,12,2019,Middletown,19709,Tesla,New Castle,500.00,250.00
RCS1219360,12,2019,Wilmington,19803,Megear/Zencar,New Castle,195.99,98.00
RCS1219361,12,2019,Newark,19702,Tesla,New Castle,500.00,250.00
RCS1219362,12,2019,Dover,19904,ChargePoint,Kent,519.00,259.50
RCS1219363,12,2019,Bear,19701,Tesla,New Castle,520.00,260.00
RCS1219364,12,2019,Newark,19711,ChargePoint,New Castle,559.00,279.50
RCS1219365,12,2019,Millsboro,19966,JuiceBox,Sussex,549.00,274.50
RCS1219366,12,2019,Rehoboth Beach,19971,Tesla,Sussex,500.00,250.00
RCS1219367,12,2019,Claymont,19703,JuiceBox,New Castle,539.00,269.50
RCS1219368,12,2019,Wilmington,19807,Tesla,New Castle,500.00,250.00
RCS1219369,12,2019,Wilmington,19803,Tesla,New Castle,500.00,250.00
RCS1219370,12,2019,Newark,19711,ChargePoint,New Castle,699.00,349.50
RCS1219371,12,2019,Dover,19901,Tesla,Kent,500.00,250.00
RCS1219372,12,2019,Middletown,19709,Tesla,New Castle,500.00,250.00
RCS1219373,12,2019,Wilmington,19808,EV Gear,New Castle,299.99,150.00
RCS1219374,12,2019,Wilmington,19803,Tesla,New Castle,500.00,250.00
RCS1219375,12,2019,Dover,19901,ChargePoint,Kent,524.25,262.13
